scene_id,object_names,scales
1-57,"['pudding_box', 'jenga', 'gelatin_box', 'tomato_soup_can', 'potted_meat_can']","[0.5, 1.0, 1.0, 1.0, 1.0]"
1-58,"['pudding_box', 'jenga', 'gelatin_box', 'tomato_soup_can', 'potted_meat_can']","[0.5, 1.0, 1.0, 1.0, 1.0]"
1-59,"['pudding_box', 'jenga', 'gelatin_box', 'tomato_soup_can', 'potted_meat_can']","[0.5, 1.0, 1.0, 1.0, 1.0]"
1-60,"['pudding_box', 'jenga', 'gelatin_box', 'tomato_soup_can', 'potted_meat_can']","[0.5, 1.0, 1.0, 1.0, 1.0]"
1-61,"['sugar_box', 'cracker_box', 'wood_block', 'tomato_soup_can', 'potted_meat_can']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-62,"['sugar_box', 'cracker_box', 'wood_block', 'tomato_soup_can', 'potted_meat_can']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-63,"['sugar_box', 'cracker_box', 'wood_block', 'tomato_soup_can', 'potted_meat_can']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-64,"['sugar_box', 'cracker_box', 'wood_block', 'tomato_soup_can', 'potted_meat_can']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-65,"['sugar_box', 'cracker_box', 'wood_block', 'tomato_soup_can', 'potted_meat_can']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-66,"['sugar_box', 'cracker_box', 'wood_block', 'tomato_soup_can', 'potted_meat_can']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-67,"['sugar_box', 'cracker_box', 'wood_block', 'tomato_soup_can', 'potted_meat_can']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-68,"['sugar_box', 'cracker_box', 'wood_block', 'tomato_soup_can', 'potted_meat_can']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-69,"['sugar_box', 'cracker_box', 'wood_block', 'tomato_soup_can', 'potted_meat_can']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-70,"['sugar_box', 'cracker_box', 'wood_block', 'tomato_soup_can', 'potted_meat_can']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-71,"['rubiks_cube', 'wood_block', 'gelatin_box', 'master_chef_can', 'tuna_fish_can']","[1.0, 0.5, 1.0, 0.5, 0.5]"
1-72,"['rubiks_cube', 'wood_block', 'gelatin_box', 'master_chef_can', 'tuna_fish_can']","[1.0, 0.5, 1.0, 0.5, 0.5]"
1-73,"['rubiks_cube', 'wood_block', 'gelatin_box', 'master_chef_can', 'tuna_fish_can']","[1.0, 0.5, 1.0, 0.5, 0.5]"
1-74,"['rubiks_cube', 'wood_block', 'gelatin_box', 'master_chef_can', 'tuna_fish_can']","[1.0, 0.5, 1.0, 0.5, 0.5]"
1-75,"['rubiks_cube', 'wood_block', 'gelatin_box', 'master_chef_can', 'tuna_fish_can']","[1.0, 0.5, 1.0, 0.5, 0.5]"
1-76,"['rubiks_cube', 'wood_block', 'gelatin_box', 'master_chef_can', 'tuna_fish_can']","[1.0, 0.5, 1.0, 0.5, 0.5]"
1-77,"['rubiks_cube', 'wood_block', 'gelatin_box', 'master_chef_can', 'tuna_fish_can']","[1.0, 0.5, 1.0, 0.5, 0.5]"
1-78,"['rubiks_cube', 'wood_block', 'gelatin_box', 'master_chef_can', 'tuna_fish_can']","[1.0, 0.5, 1.0, 0.5, 0.5]"
1-79,"['rubiks_cube', 'wood_block', 'gelatin_box', 'master_chef_can', 'tuna_fish_can']","[1.0, 0.5, 1.0, 0.5, 0.5]"
1-80,"['rubiks_cube', 'wood_block', 'gelatin_box', 'master_chef_can', 'tuna_fish_can']","[1.0, 0.5, 1.0, 0.5, 0.5]"
1-81,"['pudding_box', 'gelatin_box', 'wood_block', 'tomato_soup_can', 'tuna_fish_can']","[0.5, 1.0, 0.5, 1.0, 0.5]"
1-82,"['pudding_box', 'gelatin_box', 'wood_block', 'tomato_soup_can', 'tuna_fish_can']","[0.5, 1.0, 0.5, 1.0, 0.5]"
1-83,"['pudding_box', 'gelatin_box', 'wood_block', 'tomato_soup_can', 'tuna_fish_can']","[0.5, 1.0, 0.5, 1.0, 0.5]"
1-84,"['pudding_box', 'gelatin_box', 'wood_block', 'tomato_soup_can', 'tuna_fish_can']","[0.5, 1.0, 0.5, 1.0, 0.5]"
1-85,"['pudding_box', 'gelatin_box', 'wood_block', 'tomato_soup_can', 'tuna_fish_can']","[0.5, 1.0, 0.5, 1.0, 0.5]"
1-86,"['pudding_box', 'gelatin_box', 'wood_block', 'tomato_soup_can', 'tuna_fish_can']","[0.5, 1.0, 0.5, 1.0, 0.5]"
1-87,"['pudding_box', 'gelatin_box', 'wood_block', 'tomato_soup_can', 'tuna_fish_can']","[0.5, 1.0, 0.5, 1.0, 0.5]"
1-88,"['pudding_box', 'gelatin_box', 'wood_block', 'tomato_soup_can', 'tuna_fish_can']","[0.5, 1.0, 0.5, 1.0, 0.5]"
1-89,"['pudding_box', 'gelatin_box', 'wood_block', 'tomato_soup_can', 'tuna_fish_can']","[0.5, 1.0, 0.5, 1.0, 0.5]"
1-90,"['pudding_box', 'gelatin_box', 'wood_block', 'tomato_soup_can', 'tuna_fish_can']","[0.5, 1.0, 0.5, 1.0, 0.5]"
1-91,"['jenga', 'cracker_box', 'wood_block', 'potted_meat_can', 'tomato_soup_can']","[1.0, 0.25, 0.5, 1.0, 1.0]"
1-92,"['jenga', 'cracker_box', 'wood_block', 'potted_meat_can', 'tomato_soup_can']","[1.0, 0.25, 0.5, 1.0, 1.0]"
1-93,"['jenga', 'cracker_box', 'wood_block', 'potted_meat_can', 'tomato_soup_can']","[1.0, 0.25, 0.5, 1.0, 1.0]"
1-94,"['jenga', 'cracker_box', 'wood_block', 'potted_meat_can', 'tomato_soup_can']","[1.0, 0.25, 0.5, 1.0, 1.0]"
1-95,"['jenga', 'cracker_box', 'wood_block', 'potted_meat_can', 'tomato_soup_can']","[1.0, 0.25, 0.5, 1.0, 1.0]"
1-96,"['jenga', 'cracker_box', 'wood_block', 'potted_meat_can', 'tomato_soup_can']","[1.0, 0.25, 0.5, 1.0, 1.0]"
1-97,"['jenga', 'cracker_box', 'wood_block', 'potted_meat_can', 'tomato_soup_can']","[1.0, 0.25, 0.5, 1.0, 1.0]"
1-98,"['jenga', 'cracker_box', 'wood_block', 'potted_meat_can', 'tomato_soup_can']","[1.0, 0.25, 0.5, 1.0, 1.0]"
1-99,"['jenga', 'cracker_box', 'wood_block', 'potted_meat_can', 'tomato_soup_can']","[1.0, 0.25, 0.5, 1.0, 1.0]"
1-100,"['jenga', 'cracker_box', 'wood_block', 'potted_meat_can', 'tomato_soup_can']","[1.0, 0.25, 0.5, 1.0, 1.0]"
1-101,"['gelatin_box', 'cracker_box', 'wood_block', 'pudding_box', 'sugar_box']","[1.0, 0.25, 0.5, 0.5, 0.5]"
1-102,"['gelatin_box', 'cracker_box', 'wood_block', 'pudding_box', 'sugar_box']","[1.0, 0.25, 0.5, 0.5, 0.5]"
1-103,"['gelatin_box', 'cracker_box', 'wood_block', 'pudding_box', 'sugar_box']","[1.0, 0.25, 0.5, 0.5, 0.5]"
1-104,"['gelatin_box', 'cracker_box', 'wood_block', 'pudding_box', 'sugar_box']","[1.0, 0.25, 0.5, 0.5, 0.5]"
1-105,"['gelatin_box', 'cracker_box', 'wood_block', 'pudding_box', 'sugar_box']","[1.0, 0.25, 0.5, 0.5, 0.5]"
1-106,"['gelatin_box', 'cracker_box', 'wood_block', 'pudding_box', 'sugar_box']","[1.0, 0.25, 0.5, 0.5, 0.5]"
1-107,"['gelatin_box', 'cracker_box', 'wood_block', 'pudding_box', 'sugar_box']","[1.0, 0.25, 0.5, 0.5, 0.5]"
1-108,"['gelatin_box', 'cracker_box', 'wood_block', 'pudding_box', 'sugar_box']","[1.0, 0.25, 0.5, 0.5, 0.5]"
1-109,"['gelatin_box', 'cracker_box', 'wood_block', 'pudding_box', 'sugar_box']","[1.0, 0.25, 0.5, 0.5, 0.5]"
1-110,"['gelatin_box', 'cracker_box', 'wood_block', 'pudding_box', 'sugar_box']","[1.0, 0.25, 0.5, 0.5, 0.5]"
1-111,"['jenga', 'cracker_box', 'pudding_box', 'gelatin_box', 'rubiks_cube']","[1.0, 0.25, 0.5, 1.0, 1.0]"
1-112,"['jenga', 'cracker_box', 'pudding_box', 'gelatin_box', 'rubiks_cube']","[1.0, 0.25, 0.5, 1.0, 1.0]"
1-113,"['jenga', 'cracker_box', 'pudding_box', 'gelatin_box', 'rubiks_cube']","[1.0, 0.25, 0.5, 1.0, 1.0]"
1-114,"['jenga', 'cracker_box', 'pudding_box', 'gelatin_box', 'rubiks_cube']","[1.0, 0.25, 0.5, 1.0, 1.0]"
1-115,"['jenga', 'cracker_box', 'pudding_box', 'gelatin_box', 'rubiks_cube']","[1.0, 0.25, 0.5, 1.0, 1.0]"
1-116,"['jenga', 'cracker_box', 'pudding_box', 'gelatin_box', 'rubiks_cube']","[1.0, 0.25, 0.5, 1.0, 1.0]"
1-117,"['jenga', 'cracker_box', 'pudding_box', 'gelatin_box', 'rubiks_cube']","[1.0, 0.25, 0.5, 1.0, 1.0]"
1-118,"['jenga', 'cracker_box', 'pudding_box', 'gelatin_box', 'rubiks_cube']","[1.0, 0.25, 0.5, 1.0, 1.0]"
1-119,"['jenga', 'cracker_box', 'pudding_box', 'gelatin_box', 'rubiks_cube']","[1.0, 0.25, 0.5, 1.0, 1.0]"
1-120,"['jenga', 'cracker_box', 'pudding_box', 'gelatin_box', 'rubiks_cube']","[1.0, 0.25, 0.5, 1.0, 1.0]"
1-121,"['sugar_box', 'cracker_box', 'wood_block', 'gelatin_box', 'jenga']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-122,"['sugar_box', 'cracker_box', 'wood_block', 'gelatin_box', 'jenga']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-123,"['sugar_box', 'cracker_box', 'wood_block', 'gelatin_box', 'jenga']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-124,"['sugar_box', 'cracker_box', 'wood_block', 'gelatin_box', 'jenga']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-125,"['sugar_box', 'cracker_box', 'wood_block', 'gelatin_box', 'jenga']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-126,"['sugar_box', 'cracker_box', 'wood_block', 'gelatin_box', 'jenga']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-127,"['sugar_box', 'cracker_box', 'wood_block', 'gelatin_box', 'jenga']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-128,"['sugar_box', 'cracker_box', 'wood_block', 'gelatin_box', 'jenga']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-129,"['sugar_box', 'cracker_box', 'wood_block', 'gelatin_box', 'jenga']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-130,"['sugar_box', 'cracker_box', 'wood_block', 'gelatin_box', 'jenga']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-131,"['sugar_box', 'cracker_box', 'wood_block', 'jenga', 'gelatin_box']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-132,"['sugar_box', 'cracker_box', 'wood_block', 'jenga', 'gelatin_box']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-133,"['sugar_box', 'cracker_box', 'wood_block', 'jenga', 'gelatin_box']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-134,"['sugar_box', 'cracker_box', 'wood_block', 'jenga', 'gelatin_box']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-135,"['sugar_box', 'cracker_box', 'wood_block', 'jenga', 'gelatin_box']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-136,"['sugar_box', 'cracker_box', 'wood_block', 'jenga', 'gelatin_box']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-137,"['sugar_box', 'cracker_box', 'wood_block', 'jenga', 'gelatin_box']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-138,"['sugar_box', 'cracker_box', 'wood_block', 'jenga', 'gelatin_box']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-139,"['sugar_box', 'cracker_box', 'wood_block', 'jenga', 'gelatin_box']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-140,"['sugar_box', 'cracker_box', 'wood_block', 'jenga', 'gelatin_box']","[0.5, 0.25, 0.5, 1.0, 1.0]"
1-141,"['jenga', 'sugar_box', 'rubiks_cube', 'pudding_box', 'gelatin_box']","[1.0, 0.5, 1.0, 0.5, 1.0]"
1-142,"['jenga', 'sugar_box', 'rubiks_cube', 'pudding_box', 'gelatin_box']","[1.0, 0.5, 1.0, 0.5, 1.0]"
1-143,"['jenga', 'sugar_box', 'rubiks_cube', 'pudding_box', 'gelatin_box']","[1.0, 0.5, 1.0, 0.5, 1.0]"
1-144,"['jenga', 'sugar_box', 'rubiks_cube', 'pudding_box', 'gelatin_box']","[1.0, 0.5, 1.0, 0.5, 1.0]"
1-145,"['jenga', 'sugar_box', 'rubiks_cube', 'pudding_box', 'gelatin_box']","[1.0, 0.5, 1.0, 0.5, 1.0]"
1-146,"['jenga', 'sugar_box', 'rubiks_cube', 'pudding_box', 'gelatin_box']","[1.0, 0.5, 1.0, 0.5, 1.0]"
1-147,"['jenga', 'sugar_box', 'rubiks_cube', 'pudding_box', 'gelatin_box']","[1.0, 0.5, 1.0, 0.5, 1.0]"
1-148,"['jenga', 'sugar_box', 'rubiks_cube', 'pudding_box', 'gelatin_box']","[1.0, 0.5, 1.0, 0.5, 1.0]"
1-149,"['jenga', 'sugar_box', 'rubiks_cube', 'pudding_box', 'gelatin_box']","[1.0, 0.5, 1.0, 0.5, 1.0]"
1-150,"['jenga', 'sugar_box', 'rubiks_cube', 'pudding_box', 'gelatin_box']","[1.0, 0.5, 1.0, 0.5, 1.0]"
1-151,"['sugar_box', 'pudding_box', 'jenga', 'gelatin_box', 'cracker_box']","[0.5, 0.5, 1.0, 1.0, 0.25]"
1-152,"['sugar_box', 'pudding_box', 'jenga', 'gelatin_box', 'cracker_box']","[0.5, 0.5, 1.0, 1.0, 0.25]"
1-153,"['sugar_box', 'pudding_box', 'jenga', 'gelatin_box', 'cracker_box']","[0.5, 0.5, 1.0, 1.0, 0.25]"
1-154,"['sugar_box', 'pudding_box', 'jenga', 'gelatin_box', 'cracker_box']","[0.5, 0.5, 1.0, 1.0, 0.25]"
1-155,"['sugar_box', 'pudding_box', 'jenga', 'gelatin_box', 'cracker_box']","[0.5, 0.5, 1.0, 1.0, 0.25]"
1-156,"['sugar_box', 'pudding_box', 'jenga', 'gelatin_box', 'cracker_box']","[0.5, 0.5, 1.0, 1.0, 0.25]"
1-157,"['sugar_box', 'pudding_box', 'jenga', 'gelatin_box', 'cracker_box']","[0.5, 0.5, 1.0, 1.0, 0.25]"
1-158,"['sugar_box', 'pudding_box', 'jenga', 'gelatin_box', 'cracker_box']","[0.5, 0.5, 1.0, 1.0, 0.25]"
1-159,"['sugar_box', 'pudding_box', 'jenga', 'gelatin_box', 'cracker_box']","[0.5, 0.5, 1.0, 1.0, 0.25]"
1-160,"['sugar_box', 'pudding_box', 'jenga', 'gelatin_box', 'cracker_box']","[0.5, 0.5, 1.0, 1.0, 0.25]"
1-161,"['wood_block', 'sugar_box', 'jenga', 'rubiks_cube', 'pudding_box']","[0.5, 0.5, 1.0, 1.0, 0.5]"
1-162,"['wood_block', 'sugar_box', 'jenga', 'rubiks_cube', 'pudding_box']","[0.5, 0.5, 1.0, 1.0, 0.5]"
1-163,"['wood_block', 'sugar_box', 'jenga', 'rubiks_cube', 'pudding_box']","[0.5, 0.5, 1.0, 1.0, 0.5]"
1-164,"['wood_block', 'sugar_box', 'jenga', 'rubiks_cube', 'pudding_box']","[0.5, 0.5, 1.0, 1.0, 0.5]"
1-165,"['wood_block', 'sugar_box', 'jenga', 'rubiks_cube', 'pudding_box']","[0.5, 0.5, 1.0, 1.0, 0.5]"
1-166,"['wood_block', 'sugar_box', 'jenga', 'rubiks_cube', 'pudding_box']","[0.5, 0.5, 1.0, 1.0, 0.5]"
1-167,"['wood_block', 'sugar_box', 'jenga', 'rubiks_cube', 'pudding_box']","[0.5, 0.5, 1.0, 1.0, 0.5]"
1-168,"['wood_block', 'sugar_box', 'jenga', 'rubiks_cube', 'pudding_box']","[0.5, 0.5, 1.0, 1.0, 0.5]"
1-169,"['wood_block', 'sugar_box', 'jenga', 'rubiks_cube', 'pudding_box']","[0.5, 0.5, 1.0, 1.0, 0.5]"
1-170,"['wood_block', 'sugar_box', 'jenga', 'rubiks_cube', 'pudding_box']","[0.5, 0.5, 1.0, 1.0, 0.5]"
1-171,"['sugar_box', 'rubiks_cube', 'jenga', 'gelatin_box', 'pudding_box']","[0.5, 1.0, 1.0, 1.0, 0.5]"
1-172,"['sugar_box', 'rubiks_cube', 'jenga', 'gelatin_box', 'pudding_box']","[0.5, 1.0, 1.0, 1.0, 0.5]"
1-173,"['sugar_box', 'rubiks_cube', 'jenga', 'gelatin_box', 'pudding_box']","[0.5, 1.0, 1.0, 1.0, 0.5]"
1-174,"['sugar_box', 'rubiks_cube', 'jenga', 'gelatin_box', 'pudding_box']","[0.5, 1.0, 1.0, 1.0, 0.5]"
1-175,"['sugar_box', 'rubiks_cube', 'jenga', 'gelatin_box', 'pudding_box']","[0.5, 1.0, 1.0, 1.0, 0.5]"
1-176,"['sugar_box', 'rubiks_cube', 'jenga', 'gelatin_box', 'pudding_box']","[0.5, 1.0, 1.0, 1.0, 0.5]"
1-177,"['sugar_box', 'rubiks_cube', 'jenga', 'gelatin_box', 'pudding_box']","[0.5, 1.0, 1.0, 1.0, 0.5]"
1-178,"['sugar_box', 'rubiks_cube', 'jenga', 'gelatin_box', 'pudding_box']","[0.5, 1.0, 1.0, 1.0, 0.5]"
1-179,"['sugar_box', 'rubiks_cube', 'jenga', 'gelatin_box', 'pudding_box']","[0.5, 1.0, 1.0, 1.0, 0.5]"
1-180,"['sugar_box', 'rubiks_cube', 'jenga', 'gelatin_box', 'pudding_box']","[0.5, 1.0, 1.0, 1.0, 0.5]"
1-181,"['rubiks_cube', 'cracker_box', 'gelatin_box', 'wood_block', 'pudding_box']","[1.0, 0.25, 1.0, 0.5, 0.5]"
1-182,"['rubiks_cube', 'cracker_box', 'gelatin_box', 'wood_block', 'pudding_box']","[1.0, 0.25, 1.0, 0.5, 0.5]"
1-183,"['rubiks_cube', 'cracker_box', 'gelatin_box', 'wood_block', 'pudding_box']","[1.0, 0.25, 1.0, 0.5, 0.5]"
1-184,"['rubiks_cube', 'cracker_box', 'gelatin_box', 'wood_block', 'pudding_box']","[1.0, 0.25, 1.0, 0.5, 0.5]"
1-185,"['rubiks_cube', 'cracker_box', 'gelatin_box', 'wood_block', 'pudding_box']","[1.0, 0.25, 1.0, 0.5, 0.5]"
1-186,"['rubiks_cube', 'cracker_box', 'gelatin_box', 'wood_block', 'pudding_box']","[1.0, 0.25, 1.0, 0.5, 0.5]"
1-187,"['rubiks_cube', 'cracker_box', 'gelatin_box', 'wood_block', 'pudding_box']","[1.0, 0.25, 1.0, 0.5, 0.5]"
1-188,"['rubiks_cube', 'cracker_box', 'gelatin_box', 'wood_block', 'pudding_box']","[1.0, 0.25, 1.0, 0.5, 0.5]"
